reaction_id	name	lower_bound	upper_bound	reaction	gpr	is_exchange
rxn05298_c0	Na+/glutamate symport_c0	-1000.0	1000.0	cpd00023[e0] + cpd00971[e0] <=> cpd00023[c0] + cpd00971[c0]	TX73_RS11705	False
rxn05466_c0	diffusion for NH3_e0	-1000.0	1000.0	cpd00013[e0] <=> cpd00013[c0]	TX73_RS01435 or TX73_RS01425	False
rxn05893_c0	Ammonia:ferredoxin oxidoreductase_c0	-1000.0	1000.0	2.0 cpd00001[c0] + cpd00013[c0] + 6.0 cpd11621[c0] <=> 8.0 cpd00067[c0] + cpd00075[c0] + 6.0 cpd11620[c0]	TX73_RS19220	False
rxn06436_c0	L-Glutamate:tRNA(Gln) ligase (AMP-forming)_c0	-1000.0	1000.0	cpd00002[c0] + cpd00023[c0] + cpd11911[c0] <=> cpd00012[c0] + cpd00018[c0] + cpd12828[c0]		False
rxn06437_c0	L-Glutamine:tRNA(Gln) ligase (AMP-forming)_c0	-1000.0	1000.0	cpd00002[c0] + cpd00053[c0] + cpd11911[c0] <=> cpd00012[c0] + cpd00018[c0] + cpd00067[c0] + cpd12060[c0]		False
rxn06600_c0	S-aminomethyldihydrolipoylprotein:(6S)-tetrahydrofolate aminomethyltransferase (ammonia-forming)_c0	0.0	1000.0	cpd00087[c0] + cpd11830[c0] --> cpd00013[c0] + cpd00125[c0] + cpd12225[c0]	TX73_RS19925	False
rxn06874_c0	reduced ferredoxin:dinitrogen oxidoreductase (ATP-hydrolysing)_c0	0.0	1000.0	16.0 cpd00001[c0] + 16.0 cpd00002[c0] + cpd00528[c0] + 8.0 cpd11620[c0] --> 16.0 cpd00008[c0] + 16.0 cpd00009[c0] + 2.0 cpd00013[c0] + 6.0 cpd00067[c0] + 8.0 cpd11621[c0] + cpd11640[c0]	(TX73_RS23995 and TX73_RS23990 and TX73_RS23985) or (TX73_RS07065 and TX73_RS07075 and TX73_RS07085) or (TX73_RS07385 and TX73_RS07380 and TX73_RS07370)	False
rxn06887_c0	R05224_c0	0.0	1000.0	2.0 cpd00001[c0] + 2.0 cpd00002[c0] + 2.0 cpd00053[c0] + cpd03832[c0] --> 2.0 cpd00008[c0] + 2.0 cpd00009[c0] + 2.0 cpd00023[c0] + 2.0 cpd00067[c0] + cpd03913[c0]	TX73_RS10735	False
rxn06937_c0	L-glutamate:tRNA(Glu) ligase (AMP-forming)_c0	-1000.0	1000.0	cpd00002[c0] + cpd00023[c0] + cpd11912[c0] <=> cpd00012[c0] + cpd00018[c0] + cpd00067[c0] + cpd12227[c0]	TX73_RS15060	False
rxn06979_c0	cobyrinate:L-glutamine amido-ligase (ADP-forming)_c0	0.0	1000.0	2.0 cpd00001[c0] + 2.0 cpd00002[c0] + 2.0 cpd00053[c0] + cpd03421[c0] --> 2.0 cpd00008[c0] + 2.0 cpd00009[c0] + 2.0 cpd00023[c0] + 2.0 cpd00067[c0] + cpd03914[c0]	TX73_RS10735	False
rxn10534_c0	Glu-tRNA(Gln):L-glutamine amido-ligase(ADP-forming)_c0	0.0	1000.0	cpd00001[c0] + cpd00002[c0] + cpd00053[c0] + cpd12828[c0] --> cpd00008[c0] + cpd00009[c0] + cpd00023[c0] + cpd00067[c0] + cpd12060[c0]		False
rxn11595_c0	Asp-tRNA(Asn):L-glutamine amido-ligase (ADP-forming)_c0	0.0	1000.0	cpd00001[c0] + cpd00002[c0] + cpd00053[c0] + cpd12829[c0] --> cpd00008[c0] + cpd00009[c0] + cpd00023[c0] + 2.0 cpd00067[c0] + cpd12313[c0]		False
rxn15507_c0	L-erythro-4-hydroxyglutamate:2-oxoglutarate aminotransferase_c0	-1000.0	1000.0	cpd00024[c0] + cpd19042[c0] <=> cpd00023[c0] + cpd19041[c0]	TX73_RS22440	False
rxn30330_c0	L-4-hydroxyglutamate semialdehyde dehydrogenase (L-erythro-4-hydroxyglutamate-forming)_c0	-1000.0	1000.0	cpd00001[c0] + cpd00003[c0] + cpd03530[c0] <=> cpd00004[c0] + 2.0 cpd00067[c0] + cpd19042[c0]	TX73_RS08115	False
rxn30633_c0	L-cystathionine cysteine-lyase (deaminating; 2-oxobutanoate-forming)_c0	-1000.0	1000.0	cpd00001[c0] + cpd19019[c0] <=> cpd00013[c0] + cpd00084[c0] + cpd00094[c0]	TX73_RS12185	False
rxn39362_c0	nitrogen:ferricytochrome-c oxidoreductase (N2O-forming)_c0	-1000.0	1000.0	cpd00001[c0] + 2.0 cpd00109[c0] + cpd00528[c0] <=> 2.0 cpd00067[c0] + 2.0 cpd00110[c0] + cpd00659[c0]	TX73_RS10625	False
rxn39478_c0	L-erythro-4-hydroxyglutamate:oxaloacetate aminotransferase_c0	-1000.0	1000.0	cpd00032[c0] + cpd19042[c0] <=> cpd00320[c0] + cpd19041[c0]	TX73_RS13435	False
EX_cpd00013_e0	Exchange for NH3_e0	-100.0	100.0	cpd00013[e0] <=> 		True
EX_cpd00023_e0	Exchange for L-Glutamate	0.0	0.0	cpd00023[e0] --> 		True
EX_cpd00053_e0	Exchange for L-Glutamine_e0	-1000.0	0.0	cpd00053[e0] <-- 		True
EX_cpd00209_e0	Exchange for Nitrate_e0	0.0	1000.0	cpd00209[e0] --> 		True
